title,minDesc,city,surface,pieces,chambres,salles_de_bains,desc,tagProp,caracterestics,price,longitude,latitude,link
,,Derb Ghalef àCasablanca,"92
						m²",3 Pièces,2 Chambres,2 Salles de bains,"Affaire à saisir pour cet appartement à vendre. Prix 1 426 000 DH. 3 pièces, 2 salles de bains, superficie 92 m². 2 chambres. Nouveau. La résidence dispose de places de Parking et d'un ascenseur.Cet appartement est en vente à Derb Ghalef, Casablanca. Cuisine entièrement équipée.",[],[],1 426 000 DH,-7.626866452860704,33.57116726509295,https://www.mubawab.ma/fr/pa/8191226/appartement-%C3%A0-vendre-%C3%A0-derb-ghalef-2-chambres
,,Racine àCasablanca,"167
						m²",5 Pièces,3 Chambres,3 Salles de bains,"Idéalement situé au cœur du Triangle d’Or,dans une résidence fermée et sécurisée  à proximité immédiate du Rond-Point des Sports, découvrez ce spacieux appartement traversant de standing, offrant une exposition Est-Ouest qui garantit une luminosité optimale tout au long de la journée.D'une superficie généreuse, cet appartement se compose de :3 chambres confortables, chacune disposant de sa propre salle de bains, offrant intimité et confort à chaque occupant.Un salon lumineux avec de belles ouvertures sur les deux façades.Une cuisine moderne, fonctionnelle et bien agencée.Une place de parking sécurisée.Un box de rangement privatif, idéal pour vos effets personnels ou équipements supplémentaires.L’agencement traversant de l’appartement permet une excellente ventilation naturelle et une belle clarté. Le tout dans un environnement calme, résidentiel et très recherché.",[],[],2 890 000 DH,-7.675838470458984,33.582734173084866,https://www.mubawab.ma/fr/a/8045279/fabuleux-3-chambres-rond-point-des-sports-racine
,,Tantonville àCasablanca,"152
						m²",5 Pièces,3 Chambres,3 Salles de bains,"Z Luxury Immo vous propose à la vente un très joli 3 chambres de 152m² avec 2 Places De Parking et un BOX, situé au 1er étage d'une résidence fermée et sécurisée 24h/7 au coeur de Casablanca dans le Boulevard Abdelmoumen.

Bien agencé et central, l'appartement se compose :
- Grand salon marocain
- Salon européen avec cheminée fonctionnelle
- Coin salle à manger
- Cuisine séparée
- Terrasse 
- Suite parentale avec terrasse, Dressing et Salle de bain
- 2 Chambres à couchers enfants avec placards 
- 2 Salle de bains supplémentaires avec douche italienne
- 2 Places de parking
- Box
- Ascenseur
- Sécurité 24h/7

La résidence est très sécurisée, calme et dispose de beaux jardins. 
Disponibilité immédiate !!

Honoraires : 2,5%

OPPORTUNITÉ EN EXCLU !! 
Pour plus d'informations veuillez me contacter",[],[],1 800 000 DH,-7.628674507141113,33.58891909184207,https://www.mubawab.ma/fr/a/7889796/beau-3-chambres-r%C3%A9sidence-ferm%C3%A9e-abdelmoumen
,,Dar Bouazza,"124
						m²",4 Pièces,2 Chambres,2 Salles de bains,"A Dar-Bouaaza Appartement idéal à vendre avec une jolie vue au niveau de la terrassePrix : 2 500 000 DHSuperficie : 124 m²2 chambres  2 salles de bains  2 piècesSitué au 2ᵉ étage  Moins de 10 ansRevêtement de sol : marbre  Vendu meubléSitué dans une résidence en face de la mer, cet appartement vous offre un cadre de vie exceptionnel. La résidence dispose d’une promenade en bord de mer ainsi que de plusieurs terrains de jeux, idéale pour les familles.L’appartement offre confort et sécurité avec terrasse, ascenseur, places de parking, piscine et service de conciergerie.La cuisine est entièrement équipée, incluant un four et un micro-ondes. Vous profiterez également d’un salon européen spacieux et lumineux.Prix: 2.500.000DHHonoraires : 2,5%HT",[],[],2 500 000 DH,-7.820766901851177,33.53036886560791,https://www.mubawab.ma/fr/a/8195915/a-dar-bouaaza-appartement-%C3%A0-vendre-2-belles-chambres-meubl%C3%A9-une-vue-sur-la-mer
,,Les Hôpitaux àCasablanca,"32
						m²",,,,"Studios à vendre au Quartier des Hôpitaux à Casablanca, à partir de 720.000 DH.Superficies dès 32 m².Chaque studio comprend 1 pièce, 1 chambre, 1 salle de bains et un salon de style européen.Cuisine bien équipée avec micro-ondes, décoration moderne, climatisation installée.Situés dans un immeuble de 5 étages avec ascenseur, ces studios offrent de belles terrasses, un service de conciergerie, une porte blindée et un système de vidéosurveillance pour une sécurité optimale.Revêtement en marbre de qualité.Idéal pour un premier achat ou un investissement.",[],[],23 000 DH,-7.619516018631356,33.57373727989368,https://www.mubawab.ma/fr/a/8181647/studios-premium-%C3%A0-vendre
,,Californie àCasablanca,"43
						m²",,,,"EVERGREEN - Quand la nature s’invite chez vous

Une résidence d’exception au cœur de Californie, Casablanca

EVERGREEN est bien plus qu’un projet immobilier : c’est une expérience de vie unique, pensée pour celles et ceux qui recherchent le parfait équilibre entre modernité, sérénité et qualité de vie.

Nichée dans un écrin de verdure, cette résidence haut de gamme, fermée et sécurisée, se compose d’immeubles en R+4 et R+6 à l’architecture élégante, conçue pour s’intégrer harmonieusement à son environnement naturel.Un cadre de vie où tout est pensé pour votre bien-êtreEVERGREEN vous propose des appartements lumineux, bien agencés et ouverts sur des espaces verts, avec des prestations haut de gamme qui font toute la différence : 

Piscine résidentielle pour se détendre au quotidienSalle de fitness équipée pour garder la forme sans quitter la résidence 
Espaces verts & aires de jeux pour petits et grands
Finitions soignées, parquet dans les chambres, cuisines équipéesAscenseurs spacieux, sécurité assurée 24h/24 et 7j/7
Une localisation idéale pour vivre Casablanca autrement
Située dans le très recherché quartier Californie, 

EVERGREEN bénéficie d’un emplacement stratégique à proximité immédiate :

des commerces et centres commerciaux
des établissements scolaires réputés
des axes de transport et du centre-ville

Vous profitez ainsi de la vie urbaine sans en subir le stress, dans un environnement apaisant, verdoyant et inspirant.

EVERGREEN, là où la nature rythme votre quotidienChaque appartement a été pensé comme un véritable cocon : 

volumes généreux, luminosité naturelle, vue sur les jardins, espaces de vie harmonieux… Ici, tout respire le confort, le calme et l’élégance.

Téléchargez la brochure
Découvrez la galerie photos
Contactez-nous pour planifier votre visite

05 23 30 40 50
06 60 76 27 62",[],[],893 500 DH,-7.619337472836068,33.51077050570203,https://www.mubawab.ma/fr/pa/8191757/bel-appartement-%C3%A0-vendre-%C3%A0-californie-surface-de-43-m%C2%B2
,,Route Casablanca àMarrakech,"210
						m²",3 Pièces,2 Chambres,2 Salles de bains,"À VENDRE MARRAKECH  ROUTE DE CASA“Opportunité rare à Marrakech”Appartement duplex type F3 À rafraîchir jamais habité 2 chambres salon  Rooftop à l’étage 210 m²  2.000.000 DhsSitué à l’entrée de la ville, à proximité immédiate du stade de Marrakech, cet appartement en dernier étage bénéficie d’un rooftop privé offrant de multiples possibilités d’aménagement : salon d’été, jardin suspendu, cuisine extérieure ou espace barbecue.Implanté au sein d’une résidence de standing fermée et sécurisée, il profite d’équipements de qualité : piscine, salle de sport, terrain de tennis et aire de jeux pour enfants.Il est composé comme suit : RDC ️ Séjour ️ Cuisine américaine équipée ️ 1 salle d’eau  salle de bain ️ 1 suite parentale avec placard et salle de douche ️ 1 chambre à coucher ÉTAGE ️Rooftop à aménagerSuperficie globale 210 m² Superficie habitable 91 m² Surface terrasse 106 m² Parking 13 m² Superficie nette vendable 150.5 m² Prix de vente 2.000.000 Dhs Soit 13.289 Dhs/ m²Honoraires agence 3% TTCPour toute information, contactez Hachani Immobilier",[],[],2 000 000 DH,-8.005685284727093,31.697004358141882,https://www.mubawab.ma/fr/a/8197222/%C3%A0-vendre-marrakech-route-de-casa-duplex
,,Route Amizmiz àMarrakech,"39
						m²",2 Pièces,,,"- MAGNIFIQUE APPARTEMENT 1 CHAMBRE VIDE NEUF À VENDRE-MARRAKECH :- je vous propose à la vendre un appartement 1 chambre vide Jamais habitée pour l’investissement locatif d’une superficie de 39 m2.Au niveau du 1 ère ,d’une résidence fermée de haut gamme avec piscine commune, l’appartement est à 10 minutes de la place de jamaa lafna et la mosquée Koutoubia et à 5 minutes de l’aéroport et Marrakech Ménara et à 7 minutes à centre ville-Marrakech, au cœur de Marrakech, dans un environment calme, sécurisé, situé à Route d’Amezmiz , il se composé de :- 1 chambre avec placard ,- une cuisine bien équipée américaine ,- un salon ,- 1 salle de bain , - espace vert ,- superficie : 39 m2,- frais du syndic : 3800 dh/ans ,- 1 ère étage ,- balcon ,- Jamais habitée ,- sans vis-à-vis ,- 2 climatisations ,- piscine commune ,- parking,- piscine ,- sécurisé ,- Ensoleillé,- calme, - bon voisinage ,-Statut : Vente ,- Type de bien : appartement ,- Secteur : Route d’Amezmiz ,- Ville : Marrakech ,- prix : 1 400 000 dh ,- pour plus de renseignement ou visite, veuillez nous contacter moi,",[],[],1 400 000 DH,-8.128337860107422,31.539041642786586,https://www.mubawab.ma/fr/a/8068959/vente-d-un-bel-appartement-%C3%A0-route-amizmiz-2-pi%C3%A8ces-confortables-belle-terrasse-et-jardin
,,Lissasfa àCasablanca,"54
						m²",3 Pièces,2 Chambres,,"Opportunité unique pour cet appartement à vendre. Prix 190 000 DH. 2 chambres, 1 salle de bains, surface 54 m². 3 pièces. Nouveau. Ascenseur.

Venez découvrir cet appartement à vendre à Lissasfa, Casablanca.",[],[],190 000 DH,-7.714869,33.504593,https://www.mubawab.ma/fr/pa/7890174/bel-appartement-%C3%A0-vendre-%C3%A0-lissasfa-superficie-54-m%C2%B2
,,Californie àCasablanca,"181
						m²",5 Pièces,4 Chambres,3 Salles de bains,"La résidence Verdana Bouskoura est un complexe fermé et sécurisé, idéalement située entre Californie et Bouskoura Ville Verte. Elle propose des appartements de types F3, F4 et F5, allant de 101 à 366 m², à partir de 1,5 million de dirhams. 

Ce projet met en avant un environnement sécurisé, des finitions de qualité, ainsi que de spacieuses terrasses privées sans vis-à-vis. Chaque espace a été soigneusement conçu pour allier confort, modernité et respect de l’environnement, le tout dans une zone en pleine expansion.
Les résidents pourront également profiter d'une large gamme d'équipements de loisirs, comprenant des piscines, des jardins et des aires de jeux. Avec des écoles réputées, des commerces et des services à proximité, Verdana constitue le choix idéal pour un quotidien pratique et agréable.

Les deux sous-sols accueillent un parking permettant d’affecter 1 place de parking aux appartements de type F3 et 2 places de parkings aux appartements de type F4 et F5.",[],[],2 790 000 DH,-7.618454728863678,33.50885761838157,https://www.mubawab.ma/fr/pa/8032130/bel-appartement-%C3%A0-vendre-avec-une-terrasse-d-une-superficie-de-35m%C2%B2
